eid,epochtime,sales
49,1546021800.0,7776
55,1546021800.0,6912
74,1546021800.0,3500
74,1546021800.0,3000
49,1546021800.0,7560
49,1546021800.0,12960
49,1546021800.0,10368
55,1546108200.0,5300
49,1546108200.0,0
49,1546108200.0,5300
49,1546108200.0,8300
55,1546108200.0,5000
49,1546108200.0,6400
49,1546108200.0,0
49,1546108200.0,5660
55,1546108200.0,4800
74,1546194600.0,3500
74,1546194600.0,4900
49,1546194600.0,6480
49,1546194600.0,7040
74,1546194600.0,4500
74,1546194600.0,3500
55,1546194600.0,9936
49,1546194600.0,8880
49,1546194600.0,8640
49,1546194600.0,8640
55,1546540200.0,7260
49,1546540200.0,8640
55,1546540200.0,4380
55,1546540200.0,6480
49,1546540200.0,8640
49,1546540200.0,4800
49,1546626600.0,7600
55,1546626600.0,4300
49,1546626600.0,8640
49,1546626600.0,6800
55,1546626600.0,5832
55,1546626600.0,5832
49,1546713000.0,2160
55,1546713000.0,6800
49,1546713000.0,8324
49,1546713000.0,7776
55,1546713000.0,4200
49,1546713000.0,8640
55,1546713000.0,5740
49,1546713000.0,6812
55,1546799400.0,7776
49,1546799400.0,12520
55,1546799400.0,6480
49,1546799400.0,6480
49,1546885800.0,9272
49,1546885800.0,6480
55,1546885800.0,6480
49,1546885800.0,12960
49,1546885800.0,6480
55,1546885800.0,8964
49,1546885800.0,2160
49,1546885800.0,0
74,1547058600.0,3400
49,1547058600.0,13284
74,1547058600.0,6400
49,1547058600.0,7800
49,1547058600.0,2160
49,1547058600.0,19440
49,1547145000.0,8640
55,1547145000.0,4200
74,1547145000.0,3500
49,1547145000.0,6804
55,1547145000.0,7900
49,1547145000.0,6480
49,1547145000.0,6912
49,1547145000.0,5560
49,1547231400.0,6480
55,1547231400.0,5832
49,1547231400.0,6300
55,1547231400.0,8000
74,1547231400.0,4500
49,1547231400.0,8040
74,1547231400.0,7500
55,1547231400.0,8300
49,1547231400.0,5832
49,1547231400.0,8300
74,1547231400.0,3500
55,1547231400.0,3000
55,1547317800.0,2500
49,1547317800.0,7020
74,1547317800.0,3500
55,1547317800.0,5832
55,1547317800.0,6032
74,1547317800.0,2160
74,1547317800.0,3500
49,1547317800.0,8640
49,1547317800.0,8640
49,1547317800.0,6480
49,1547404200.0,7560
74,1547404200.0,5400
49,1547404200.0,6156
49,1547404200.0,7776
74,1547404200.0,4000
49,1547404200.0,5346
74,1547404200.0,2000
49,1547404200.0,6480
49,1547404200.0,3500
55,1547490600.0,6480
49,1547490600.0,8000
55,1547490600.0,11276
49,1547490600.0,10000
49,1547490600.0,8640
55,1547577000.0,6480
74,1547577000.0,3500
49,1547577000.0,8640
55,1547577000.0,7800
49,1551637800.0,8640
49,1547577000.0,8640
49,1547577000.0,7724
74,1547577000.0,4900
74,1547577000.0,4500
49,1547663400.0,8640
49,1547663400.0,8640
55,1547749800.0,6480
55,1547749800.0,6480
49,1547749800.0,7776
49,1547749800.0,5832
55,1547749800.0,6480
55,1547749800.0,10800
49,1547749800.0,3240
49,1547749800.0,7800
49,1547836200.0,6480
55,1547836200.0,7560
74,1547836200.0,6400
49,1547836200.0,7776
49,1547836200.0,8300
49,1547836200.0,5400
55,1547836200.0,7776
55,1547836200.0,7776
74,1547836200.0,3000
49,1547836200.0,7560
49,1547836200.0,6480
49,1548009000.0,7800
55,1548009000.0,8640
55,1548009000.0,7776
55,1548009000.0,6700
49,1548009000.0,15120
49,1548009000.0,8640
49,1548009000.0,10800
55,1548095400.0,8640
55,1548095400.0,3780
74,1548095400.0,6400
49,1548095400.0,5300
74,1548095400.0,3500
74,1548095400.0,3500
74,1548095400.0,2900
49,1548181800.0,8640
49,1548181800.0,0
49,1548181800.0,6304
49,1548181800.0,6480
49,1548268200.0,11448
55,1548268200.0,6480
55,1548268200.0,2160
49,1548268200.0,6696
49,1548354600.0,14580
55,1548354600.0,6480
49,1548354600.0,6928
55,1548354600.0,6480
49,1548354600.0,5300
49,1548441000.0,3564
55,1548441000.0,5832
49,1548441000.0,5980
49,1548441000.0,9260
55,1548441000.0,6580
74,1548441000.0,1000
74,1548441000.0,1800
49,1548441000.0,9104
74,1548441000.0,4900
55,1548441000.0,8300
49,1548441000.0,8640
49,1548527400.0,2500
49,1548527400.0,0
49,1548527400.0,8300
49,1548527400.0,10800
49,1548527400.0,12140
55,1548613800.0,6800
49,1548613800.0,6480
49,1548613800.0,10800
55,1548613800.0,2500
74,1548613800.0,6000
55,1548613800.0,5800
49,1548613800.0,0
49,1548613800.0,2000
74,1548700200.0,6400
74,1548700200.0,3500
55,1548700200.0,6480
55,1548700200.0,2700
74,1548700200.0,3500
74,1548700200.0,8000
55,1548786600.0,8960
55,1548786600.0,4300
49,1548786600.0,7560
49,1548786600.0,6300
49,1548786600.0,8640
49,1548786600.0,8640
49,1548700200.0,7776
49,1548700200.0,7556
49,1548959400.0,6156
49,1548959400.0,6480
74,1548959400.0,4900
55,1548959400.0,8548
55,1548959400.0,2160
49,1548959400.0,6912
49,1548959400.0,8640
49,1548959400.0,12312
55,1549045800.0,6232
49,1549045800.0,6300
55,1549045800.0,0
49,1549045800.0,5832
55,1549045800.0,6032
74,1549045800.0,3500
74,1549045800.0,0
74,1549045800.0,3500
55,1549045800.0,5000
49,1549045800.0,8640
74,1549045800.0,3500
49,1549045800.0,7776
49,1549045800.0,7000
49,1549045800.0,10800
49,1549218600.0,7160
49,1549218600.0,6480
55,1549218600.0,4280
55,1549218600.0,7800
74,1549218600.0,6400
74,1549218600.0,4000
49,1549218600.0,6480
74,1549218600.0,6400
74,1549305000.0,7000
55,1549305000.0,8688
55,1549305000.0,7992
55,1549305000.0,7236
49,1549305000.0,10000
49,1549305000.0,8300
74,1549305000.0,2000
74,1549305000.0,3500
49,1549305000.0,6480
49,1549305000.0,8640
49,1549391400.0,7560
55,1549391400.0,5100
49,1549391400.0,6608
49,1549391400.0,8640
55,1549391400.0,12140
49,1549477800.0,9288
49,1549477800.0,8640
74,1549477800.0,4900
55,1549564200.0,6132
49,1549564200.0,8532
74,1549564200.0,3000
55,1549564200.0,6480
49,1549564200.0,7564
55,1549564200.0,4800
49,1549564200.0,5000
49,1549564200.0,7560
49,1549564200.0,8340
49,1549564200.0,6480
55,1549650600.0,9720
55,1549650600.0,7776
55,1549650600.0,5880
49,1549650600.0,8300
49,1549650600.0,7560
49,1549650600.0,7603
49,1549650600.0,6500
74,1549650600.0,4700
74,1549650600.0,3500
49,1549650600.0,8424
74,1549650600.0,6300
49,1549650600.0,8640
49,1549650600.0,3500
49,1549650600.0,9504
55,1549650600.0,3000
55,1549823400.0,6920
74,1549823400.0,6800
49,1549823400.0,8640
49,1549823400.0,5728
49,1549823400.0,6600
49,1549823400.0,8640
49,1549823400.0,7676
49,1549823400.0,8300
49,1549823400.0,6480
55,1549909800.0,6480
55,1549909800.0,7880
55,1549909800.0,5380
49,1549909800.0,8000
49,1549909800.0,6480
49,1549909800.0,2160
49,1549909800.0,7776
74,1549996200.0,3000
74,1549996200.0,3500
74,1549996200.0,3000
74,1549996200.0,1500
49,1549996200.0,6480
49,1549996200.0,8640
74,1549996200.0,5000
49,1549996200.0,6480
49,1549996200.0,5980
49,1550082600.0,4300
49,1550082600.0,8640
49,1550082600.0,10800
49,1550082600.0,8640
49,1550082600.0,5832
49,1550082600.0,8640
49,1550082600.0,5900
55,1550082600.0,8640
55,1550082600.0,5832
55,1550082600.0,6800
55,1550169000.0,6480
55,1550169000.0,5800
55,1550169000.0,3300
55,1550169000.0,7560
49,1550169000.0,9720
49,1550169000.0,8016
49,1550169000.0,5400
49,1550169000.0,19440
49,1550255400.0,1860
49,1550255400.0,8300
49,1550255400.0,5400
49,1550255400.0,8340
74,1550255400.0,3000
55,1550255400.0,5832
55,1550255400.0,6480
55,1550255400.0,8040
49,1550255400.0,7776
74,1550255400.0,2700
55,1550255400.0,6480
49,1550255400.0,8300
74,1550255400.0,3000
74,1550255400.0,3500
55,1550428200.0,6800
74,1550428200.0,4500
74,1550428200.0,3500
55,1550428200.0,5300
49,1550428200.0,5800
49,1550428200.0,8300
74,1550428200.0,4000
55,1550428200.0,6800
74,1550428200.0,6900
49,1550514600.0,45360
55,1550514600.0,7776
49,1550514600.0,7560
55,1550514600.0,7560
55,1550514600.0,5700
49,1550514600.0,10152
49,1550601000.0,9880
55,1550601000.0,6232
55,1550601000.0,5980
49,1550601000.0,8640
49,1550601000.0,9072
74,1550601000.0,5400
49,1550687400.0,5580
49,1550687400.0,6480
74,1550687400.0,4900
49,1550687400.0,7560
49,1550687400.0,7344
49,1550687400.0,5660
74,1550687400.0,4800
74,1550773800.0,6300
49,1550773800.0,7560
74,1550773800.0,3500
49,1550773800.0,7560
74,1550773800.0,4900
49,1550773800.0,8952
49,1550773800.0,7776
49,1550773800.0,14300
74,1550773800.0,3000
49,1550860200.0,2140
55,1550860200.0,7776
55,1550860200.0,5832
74,1550860200.0,2000
49,1550860200.0,7776
49,1550860200.0,0
55,1550860200.0,5600
74,1550860200.0,4900
49,1550860200.0,5832
74,1550860200.0,3000
74,1551033000.0,45000
74,1551033000.0,6300
74,1551033000.0,4600
49,1551033000.0,7193
74,1551033000.0,3500
49,1551033000.0,0
49,1551033000.0,10160
49,1551033000.0,8640
49,1551033000.0,11880
55,1551119400.0,5832
49,1551119400.0,14040
74,1551119400.0,7000
55,1551119400.0,6912
74,1551119400.0,4500
55,1551119400.0,8640
74,1551119400.0,4580
49,1551119400.0,7560
74,1551205800.0,3500
74,1551205800.0,3500
49,1551205800.0,6100
55,1551292200.0,6200
55,1551292200.0,7148
55,1551292200.0,9272
49,1551292200.0,6840
55,1551378600.0,6600
49,1551378600.0,18360
49,1551378600.0,8640
55,1551378600.0,4300
55,1551378600.0,6380
49,1551378600.0,8640
49,1551378600.0,5832
74,1551465000.0,3500
55,1551465000.0,7800
55,1551465000.0,8640
55,1551465000.0,7776
74,1551465000.0,3500
49,1551465000.0,8640
49,1551465000.0,7256
49,1551465000.0,7776
49,1551465000.0,8640
74,1551465000.0,3500
74,1551637800.0,3500
74,1551637800.0,7900
74,1551637800.0,4100
49,1551637800.0,6480
74,1551637800.0,6200
49,1551637800.0,0
49,1551637800.0,5184
55,1551637800.0,3780
55,1551637800.0,0
55,1551637800.0,6400
55,1551637800.0,6912
55,1551637800.0,6800
74,1551637800.0,3000
49,1551637800.0,7128
74,1551724200.0,5700
74,1551724200.0,4900
49,1551724200.0,8964
49,1551724200.0,8964
49,1551724200.0,6400
49,1551724200.0,8640
74,1551724200.0,4900
49,1551724200.0,9032
49,1551810600.0,7560
55,1551810600.0,6800
55,1551810600.0,6480
74,1551810600.0,6800
49,1551810600.0,6480
74,1551810600.0,6300
74,1551810600.0,3500
55,1551810600.0,2700
49,1551810600.0,6372
49,1551810600.0,8300
49,1551897000.0,8640
49,1551897000.0,5832
49,1551897000.0,8640
49,1551897000.0,7560
49,1551897000.0,8640
74,1551983400.0,4800
49,1551983400.0,7776
74,1551983400.0,2500
74,1551983400.0,3000
55,1551983400.0,7560
74,1551983400.0,2160
55,1551983400.0,6480
74,1551983400.0,3500
55,1551983400.0,7776
49,1551983400.0,6080
49,1552069800.0,6480
55,1552069800.0,10044
55,1552069800.0,6800
49,1552069800.0,6480
49,1552069800.0,7560
49,1552069800.0,8300
110,1552242600.0,3780
